Case,SA?,RB?,Period,Fleet Size,Capacity,Dmd Rate,Service Rate,reqs served,of total reqs,wait time,inveh time,service dist,service time,service pct,rebl dist,rebl time,rebl pct,
BAL5,no,no,10800,20,4,100,100,332,332,177.8607899,449.0104004,46303.36129,7717.226882,71.45580446,0,0,0,
BAL5,no,no,10800,20,4,100,100,346,346,176.6936365,468.0784685,45692.2516,7615.375266,70.51273395,0,0,0,
BAL5,no,no,10800,20,4,100,100,293,293,178.8457166,433.3831792,41189.35169,6864.891949,63.56381434,0,0,0,
BAL5,no,no,10800,20,4,100,100,303,303,170.7466146,437.8579916,41228.04377,6871.340628,63.62352433,0,0,0,
BAL5,no,no,10800,20,4,100,100,306,306,162.7523564,438.8253667,43123.95403,7187.325672,66.54931178,0,0,0,
BAL5,no,no,10800,20,4,100,100,300,300,172.7176636,474.2275186,44419.64124,7403.27354,68.54882908,0,0,0,
,,,,,,,,,,170.6466397,430.5478982,41216.03277,6869.338795,63.60498884,0,0,0,
BAL5,no,orp,10800,20,4,100,100,295,295,145.7189481,406.7637921,40005.24399,6667.540664,61.73648763,12953.00996,2158.834994,19.9892129,
BAL5,no,orp,10800,20,4,100,100,285,285,144.6495881,408.1332494,41615.1038,6935.850633,64.2208392,12753.47701,2125.579502,19.68129169,
BAL5,no,orp,10800,20,4,100,100,312,312,144.8347534,402.8878619,42030.11407,7005.019012,64.86128715,12231.28615,2038.547692,18.87544159,
BAL5,no,orp,10800,20,4,100,100,280,280,145.5202008,408.3017952,38745.85656,6457.642759,59.79298851,13060.71426,2176.78571,20.15542324,
BAL5,no,orp,10800,20,4,100,100,322,322,146.1525636,419.9944918,44625.88552,7437.647587,68.86710729,11265.5897,1877.598283,17.38516929,
BAL5,no,orp,10800,20,4,100,100,323,323,145.0611548,390.6565083,43676.41945,7279.403241,67.40188186,12069.40949,2011.568248,18.62563193,
BAL5,no,orp,10800,20,4,100,100,306,306,151.7560214,407.0647456,42533.53505,7088.922508,65.63817137,12122.29442,2020.382403,18.70724447,
BAL5,no,orp,10800,20,4,100,100,288,288,141.3498185,411.982179,40869.07907,6811.513178,63.06956647,11623.50871,1937.251452,17.93751344,
BAL5,no,orp,10800,20,4,100,100,306,306,145.9434034,399.0691456,42617.59428,7102.93238,65.76789241,12035.36334,2005.89389,18.57309157,
BAL5,no,orp,10800,20,4,100,100,282,282,142.3168543,383.8625187,38989.82401,6498.304002,60.1694815,13708.64665,2284.774442,21.15531891,
BAL5,no,orp,10800,20,4,100,100,294,294,139.5559765,407.9795263,41043.98404,6840.664006,63.33948154,13327.66683,2221.277805,20.56738708,
BAL5,no,orp,10800,20,4,100,100,270,270,140.6044874,389.612092,37227.69339,6204.615565,57.45014412,13632.97122,2272.161869,21.03853583,
BAL5,no,orp,10800,20,4,100,100,312,312,147.3072224,409.9067024,44241.09739,7373.516232,68.27329845,11317.71726,1886.28621,17.46561305,
BAL5,no,orp,10800,20,4,100,100,305,305,139.6331411,401.5679197,41867.41933,6977.903222,64.61021502,12344.28927,2057.381546,19.04982913,
BAL5,no,orp,10800,20,4,100,100,320,320,144.7108964,409.1180759,43576.71828,7262.78638,67.24802204,11463.06521,1910.510869,17.68991545,
BAL5,no,orp,10800,20,4,100,100,299,299,143.2654968,406.6287428,41164.74436,6860.790726,63.52584006,12159.26687,2026.544479,18.76430073,
BAL5,no,orp,10800,20,4,100,100,294,294,148.6460406,417.3738778,42098.94581,7016.490969,64.96750897,12122.17959,2020.363266,18.70706727,
BAL5,no,orp,10800,20,4,100,100,299,299,146.0312908,419.4825524,43410.63535,7235.105891,66.99172121,12225.76777,2037.627962,18.86692557,
BAL5,no,orp,10800,20,4,100,100,305,305,148.1322536,408.0820183,42564.76373,7094.127288,65.68636378,11812.61355,1968.768925,18.2293419,
